Shipment_ID,Order_Date,Delivery_Date,Scheduled_Delivery_Date,Origin_City,Destination_City,Distance_KM,Carrier_ID,Vehicle_Type,Shipment_Weight_KG,Shipment_Volume_M3,Priority_Level,Customer_ID,Freight_Cost,Delivery_Status
SHP-00001,2023-05-21,2023-05-26,2023-05-25,New York,Washington DC,2391,CAR-007,Semi-Truck,211.05,0.472,Standard,CUST-4814,2396.76,Delayed
SHP-00002,2023-02-23,2023-02-26,2023-02-26,Nashville,Baltimore,1994,CAR-002,Truck,106.17,0.196,Standard,CUST-3252,1546.3,On-Time
SHP-00003,2023-01-06,2023-01-07,2023-01-07,Atlanta,Minneapolis,1172,CAR-007,Cargo Plane,485.98,0.648,Overnight,CUST-8793,3121.12,On-Time
SHP-00004,2024-05-03,2024-05-04,2024-05-04,Detroit,Boston,1467,CAR-002,Semi-Truck,196.65,0.356,Express,CUST-1969,1542.23,On-Time
SHP-00005,2023-04-02,2023-04-03,2023-04-03,Chicago,Detroit,1060,CAR-004,Van,110.27,0.12,Express,CUST-1611,963.16,On-Time
SHP-00006,2023-06-29,2023-07-03,2023-07-01,Denver,Atlanta,1443,CAR-007,Semi-Truck,484.06,1.433,Standard,CUST-9116,1721.03,Delayed
SHP-00007,2023-07-10,2023-07-11,2023-07-11,Detroit,Seattle,800,CAR-003,Cargo Plane,589.53,1.617,Overnight,CUST-1151,2298.52,On-Time
SHP-00008,2023-11-02,2023-11-04,2023-11-04,New York,Seattle,1080,CAR-004,Van,491.49,0.533,Standard,CUST-9901,978.98,On-Time
SHP-00009,2024-06-20,2024-06-23,2024-06-23,Miami,Los Angeles,1907,CAR-004,Semi-Truck,437.81,0.917,Standard,CUST-4159,1655.68,On-Time
SHP-00010,2023-04-26,2023-04-28,2023-04-28,Phoenix,Baltimore,1319,CAR-004,Semi-Truck,289.1,0.745,Standard,CUST-1230,980.98,On-Time
SHP-00011,2023-12-12,2023-12-15,2023-12-15,Detroit,Atlanta,2006,CAR-008,Truck,344.7,0.622,Express,CUST-3875,4217.86,On-Time
SHP-00012,2024-09-17,2024-09-18,2024-09-18,Houston,Cleveland,702,CAR-005,Semi-Truck,499.21,1.022,Express,CUST-9442,1379.04,On-Time
SHP-00013,2023-12-02,2023-12-05,2023-12-04,Houston,Atlanta,1070,CAR-004,Truck,135.17,0.261,Standard,CUST-5064,793.36,Delayed
SHP-00014,2023-01-07,2023-01-08,2023-01-08,Houston,Cleveland,702,CAR-007,Van,252.17,0.362,Standard,CUST-5947,812.23,On-Time
SHP-00015,2024-08-19,2024-08-20,2024-08-20,Washington DC,Dallas,1260,CAR-005,Van,301.15,0.754,Express,CUST-4871,2194.58,On-Time
SHP-00016,2023-03-05,2023-03-06,2023-03-06,Seattle,Boston,835,CAR-005,Truck,429.25,0.905,Express,CUST-9233,1514.11,On-Time
SHP-00017,2024-12-21,2024-12-22,2024-12-22,Los Angeles,Minneapolis,769,CAR-002,Truck,75.49,0.152,Express,CUST-7021,738.02,On-Time
SHP-00018,2024-09-21,2024-09-23,2024-09-23,Denver,Atlanta,1443,CAR-007,Cargo Plane,150.87,0.155,Standard,CUST-7121,1452.39,On-Time
SHP-00019,2024-03-01,2024-03-05,2024-03-04,Phoenix,Atlanta,2131,CAR-005,Semi-Truck,367.24,0.83,Express,CUST-4578,3619.82,Delayed
SHP-00020,2023-09-11,2023-09-14,2023-09-12,Minneapolis,San Francisco,361,CAR-003,Truck,356.3,0.654,Express,CUST-9609,591.88,Delayed
SHP-00021,2024-04-02,2024-04-06,2024-04-05,Boston,Washington DC,1643,CAR-004,Truck,552.82,1.376,Standard,CUST-9792,1429.2,Delayed
SHP-00022,2023-06-03,2023-06-06,2023-06-05,Minneapolis,Philadelphia,1329,CAR-007,Semi-Truck,1956.18,4.589,Standard,CUST-9008,3359.76,Delayed
SHP-00023,2023-04-04,2023-04-06,2023-04-05,Philadelphia,Cleveland,537,CAR-003,Truck,244.01,0.699,Express,CUST-9409,836.4,Delayed
SHP-00024,2024-03-01,2024-03-06,2024-03-05,Boston,Atlanta,2399,CAR-001,Van,39.17,0.064,Standard,CUST-6049,1956.08,Delayed
SHP-00025,2023-01-23,2023-01-27,2023-01-27,San Francisco,Los Angeles,2397,CAR-007,Semi-Truck,168.32,0.392,Standard,CUST-1742,2459.32,On-Time
SHP-00026,2024-03-09,2024-03-11,2024-03-11,Seattle,Milwaukee,1326,CAR-002,Van,270.32,0.469,Standard,CUST-2130,1037.31,On-Time
SHP-00027,2024-04-28,2024-05-01,2024-05-01,Boston,Milwaukee,1882,CAR-006,Truck,491.23,0.746,Standard,CUST-7887,1882.97,On-Time
SHP-00028,2024-01-19,2024-01-20,2024-01-20,Baltimore,Nashville,2274,CAR-003,Truck,351.57,0.451,Overnight,CUST-7154,5966.65,On-Time
SHP-00029,2023-03-24,2023-03-25,2023-03-25,Chicago,Minneapolis,1494,CAR-007,Truck,38.58,0.112,Express,CUST-6697,1825.77,On-Time
SHP-00030,2023-05-02,2023-05-03,2023-05-03,Dallas,Detroit,740,CAR-007,Truck,300.79,0.868,Standard,CUST-4648,743.23,On-Time
SHP-00031,2023-01-04,2023-01-06,2023-01-06,Baltimore,Miami,1999,CAR-007,Cargo Plane,66.43,0.123,Express,CUST-7948,2729.77,On-Time
SHP-00032,2024-06-28,2024-07-02,2024-07-02,Denver,Milwaukee,2494,CAR-007,Van,425.05,0.436,Standard,CUST-4088,2776.87,On-Time
SHP-00033,2023-04-26,2023-04-29,2023-04-29,Denver,Boston,1973,CAR-004,Truck,317.23,0.854,Standard,CUST-1256,1536.54,On-Time
SHP-00034,2023-09-04,2023-09-08,2023-09-07,Philadelphia,Baltimore,1727,CAR-001,Van,474.17,1.378,Standard,CUST-5009,1950.75,Delayed
SHP-00035,2023-02-15,2023-02-17,2023-02-17,Milwaukee,Minneapolis,1475,CAR-008,Van,714.99,1.829,Standard,CUST-1924,3168.5,On-Time
SHP-00036,2023-05-24,2023-05-26,2023-05-26,Denver,Washington DC,1427,CAR-003,Van,220.11,0.376,Standard,CUST-6224,1788.33,On-Time
SHP-00037,2024-08-14,2024-08-17,2024-08-17,Philadelphia,Baltimore,1727,CAR-004,Truck,407.13,1.171,Standard,CUST-3347,1327.9,On-Time
SHP-00038,2024-11-07,2024-11-08,2024-11-08,Seattle,San Francisco,319,CAR-006,Truck,699.36,1.943,Standard,CUST-3869,390.21,On-Time
SHP-00039,2024-10-03,2024-10-08,2024-10-06,Philadelphia,Detroit,2084,CAR-005,Truck,326.89,0.41,Express,CUST-7244,3646.57,Delayed
SHP-00040,2024-06-21,2024-06-26,2024-06-24,Chicago,Houston,1838,CAR-005,Truck,394.75,0.524,Standard,CUST-4012,2185.75,Delayed
SHP-00041,2024-07-04,2024-07-06,2024-07-06,Chicago,San Francisco,1415,CAR-008,Semi-Truck,139.22,0.265,Standard,CUST-3365,2080.55,On-Time
SHP-00042,2024-04-19,2024-04-20,2024-04-20,New York,Los Angeles,823,CAR-002,Truck,198.89,0.202,Overnight,CUST-4978,1332.38,On-Time
SHP-00043,2023-09-19,2023-09-21,2023-09-21,Chicago,Seattle,1155,CAR-002,Truck,248.08,0.46,Standard,CUST-2514,1020.55,On-Time
SHP-00044,2024-07-02,2024-07-05,2024-07-05,Dallas,Philadelphia,2181,CAR-003,Van,280.52,0.625,Express,CUST-1647,3501.6,On-Time
SHP-00045,2023-03-16,2023-03-20,2023-03-19,Los Angeles,Boston,1700,CAR-003,Semi-Truck,189.32,0.465,Standard,CUST-4555,1946.45,Delayed
SHP-00046,2024-05-05,2024-05-09,2024-05-09,New York,Washington DC,2391,CAR-006,Semi-Truck,272.62,0.673,Standard,CUST-4470,2072.9,On-Time
SHP-00047,2023-07-14,2023-07-15,2023-07-15,San Francisco,Houston,2106,CAR-004,Van,930.52,2.561,Overnight,CUST-4350,4823.97,On-Time
SHP-00048,2024-02-11,2024-02-12,2024-02-12,Houston,Baltimore,1063,CAR-003,Truck,630.41,1.065,Overnight,CUST-9743,3088.64,On-Time
SHP-00049,2024-10-26,2024-10-29,2024-10-29,Miami,Philadelphia,1861,CAR-002,Van,324.6,0.663,Standard,CUST-2615,1614.94,On-Time
